Total Projects,20
Total Teams,25
pi,Project 11,Pick #1
theta,Project 5,Pick #1
epsilon,Project 20,Pick #1
omicron,Project 10,Pick #1
chi,Project 7,Pick #1
alpha,Project 8,Pick #1
eta,Project 18,Pick #1
phi,Project 23,Pick #1
tau,Project 16,Pick #2
lambda,Project 24,Pick #1
rho,Project 14,Pick #1
iota,Project 3,Pick #3
kappa,Project 17,Pick #3
delta,Project 15,Pick #3
omega,Project 6,Pick #1
sigma,Project 0,Pick #2
beta,Project 19,Pick #2
nu,Project 22,Pick #3
mu,Project 12,Pick #2
gamma,Project 4,Pick #1
Pick #1,12
Pick #2,4
Pick #3,4
Random Picks,0
Unable to Pick,0
